gene	description
METAP1D	methionyl aminopeptidase type 1D%2C mitochondrial;transcript_id=XM_045847421.1
SLC25A12	solute carrier family 25 member 12%2C transcript variant X2;transcript_id=XM_045840811.1
SLC25A12	solute carrier family 25 member 12%2C transcript variant X3;transcript_id=XM_045841481.1
SLC25A12	solute carrier family 25 member 12%2C transcript variant X4;transcript_id=XM_045842281.1
SLC25A12	solute carrier family 25 member 12%2C transcript variant X1;transcript_id=XM_045840065.1
SLC25A12	solute carrier family 25 member 12%2C transcript variant X5;transcript_id=XM_045842925.1
HAT1	histone acetyltransferase 1%2C transcript variant X1;transcript_id=XM_045844086.1
HAT1	histone acetyltransferase 1%2C transcript variant X2;transcript_id=XM_045844769.1
HAT1	histone acetyltransferase 1%2C transcript variant X3;transcript_id=XM_045845518.1
HAT1	histone acetyltransferase 1%2C transcript variant X4;transcript_id=XM_045846381.1
DYNC1I2	dynein cytoplasmic 1 intermediate chain 2%2C transcript variant X3;transcript_id=XM_045827711.1
DYNC1I2	dynein cytoplasmic 1 intermediate chain 2%2C transcript variant X1;transcript_id=XM_045827542.1
DYNC1I2	dynein cytoplasmic 1 intermediate chain 2%2C transcript variant X5;transcript_id=XM_045827884.1
DYNC1I2	dynein cytoplasmic 1 intermediate chain 2%2C transcript variant X4;transcript_id=XM_045827799.1
DYNC1I2	dynein cytoplasmic 1 intermediate chain 2%2C transcript variant X2;transcript_id=XM_045827621.1
LOC123811373	plasma membrane ascorbate-dependent reductase CYBRD1;transcript_id=XM_045827402.1
DCAF17	DDB1 and CUL4 associated factor 17%2C transcript variant X6;transcript_id=XM_045817422.1
DCAF17	DDB1 and CUL4 associated factor 17%2C transcript variant X3;transcript_id=XM_045817244.1
DCAF17	DDB1 and CUL4 associated factor 17%2C transcript variant X2;transcript_id=XM_045817160.1
DCAF17	DDB1 and CUL4 associated factor 17%2C transcript variant X1;transcript_id=XM_045817093.1
DCAF17	DDB1 and CUL4 associated factor 17%2C transcript variant X5;transcript_id=XM_045817364.1
DCAF17	DDB1 and CUL4 associated factor 17%2C transcript variant X4;transcript_id=XM_045817324.1
DCAF17	DDB1 and CUL4 associated factor 17%2C transcript variant X7;transcript_id=XM_045817468.1
METTL8	methyltransferase 8%2C methylcytidine%2C transcript variant X6;transcript_id=XM_045831891.1
METTL8	methyltransferase 8%2C methylcytidine%2C transcript variant X3;transcript_id=XM_045831867.1
METTL8	methyltransferase 8%2C methylcytidine%2C transcript variant X2;transcript_id=XM_045831859.1
METTL8	methyltransferase 8%2C methylcytidine%2C transcript variant X1;transcript_id=XM_045831850.1
METTL8	methyltransferase 8%2C methylcytidine%2C transcript variant X4;transcript_id=XM_045831876.1
METTL8	methyltransferase 8%2C methylcytidine%2C transcript variant X5;transcript_id=XM_045831885.1
LOC123814270	60S ribosomal protein L34-like;transcript_id=XM_045831915.1
LOC123814335	U2 spliceosomal RNA;transcript_id=XR_006784889.1
TLK1	tousled like kinase 1;transcript_id=XM_045819630.1
LOC123814434	U6 spliceosomal RNA;transcript_id=XR_006784911.1
GORASP2	golgi reassembly stacking protein 2%2C transcript variant X1;transcript_id=XM_045831571.1
GORASP2	golgi reassembly stacking protein 2%2C transcript variant X2;transcript_id=XM_045831582.1
GAD1	glutamate decarboxylase 1%2C transcript variant X1;transcript_id=XM_045831819.1
GAD1	glutamate decarboxylase 1%2C transcript variant X2;transcript_id=XM_045831829.1
GAD1	glutamate decarboxylase 1%2C transcript variant X3;transcript_id=XM_045831837.1
ERICH2	glutamate rich 2;transcript_id=XM_045834796.1
SP5	Sp5 transcription factor;transcript_id=XM_045829730.1
MYO3B	myosin IIIB;transcript_id=XM_045820463.1
LOC123814421	U6 spliceosomal RNA;transcript_id=XR_006784910.1
UBR3	ubiquitin protein ligase E3 component n-recognin 3%2C transcript variant X6;transcript_id=XM_045840779.1
UBR3	ubiquitin protein ligase E3 component n-recognin 3%2C transcript variant X2;transcript_id=XM_045840481.1
UBR3	ubiquitin protein ligase E3 component n-recognin 3%2C transcript variant X5;transcript_id=XM_045840699.1
UBR3	ubiquitin protein ligase E3 component n-recognin 3%2C transcript variant X4;transcript_id=XM_045840621.1
UBR3	ubiquitin protein ligase E3 component n-recognin 3%2C transcript variant X3;transcript_id=XM_045840539.1
UBR3	ubiquitin protein ligase E3 component n-recognin 3%2C transcript variant X1;transcript_id=XM_045840451.1
METTL5	methyltransferase 5%2C N6-adenosine%2C transcript variant X3;transcript_id=XM_045825121.1
METTL5	methyltransferase 5%2C N6-adenosine%2C transcript variant X4;transcript_id=XM_045825146.1
METTL5	methyltransferase 5%2C N6-adenosine%2C transcript variant X1;transcript_id=XM_045824971.1
METTL5	methyltransferase 5%2C N6-adenosine%2C transcript variant X5;transcript_id=XM_045825190.1
METTL5	methyltransferase 5%2C N6-adenosine%2C transcript variant X2;transcript_id=XM_045825043.1
SSB	small RNA binding exonuclease protection factor La;transcript_id=XM_045824857.1
KLHL23	kelch like family member 23%2C transcript variant X3;transcript_id=XM_045830624.1
KLHL23	kelch like family member 23%2C transcript variant X1;transcript_id=XM_045830614.1
KLHL23	kelch like family member 23%2C transcript variant X2;transcript_id=XM_045830619.1
PHOSPHO2	phosphatase%2C orphan 2%2C transcript variant X5;transcript_id=XM_045824130.1
